unit_id,m_lexicon,m_money_url,m_caps_buy,m_llm_full,m_short_cap,m_noise,m_topic_leak,v_aux,y
u00000,-0.03855728460989931,-0.09403954805502804,0.41158044327107407,-0.10372213508276316,0.48520347671962427,-0.33305019592715934,1.8489862163360606,-0.06492091726961291,-0.09484417060327952
u00001,-0.03855728460989931,-0.09403954805502804,0.3972709131181057,-0.10372213508276316,0.2909747239763635,-0.9069474484648142,1.8489862163360606,-0.10691559803250475,0.04912156165585091
u00002,14.05763791993782,0.7773984160890288,31.725396617205455,4.428234428107379,4.451565361732517,-0.6608269672261214,-0.287420818721999,16.640852708696777,1.6313029931020238
u00003,-0.30677241535182204,-0.09403954805502804,-0.31343575114598804,-0.17291231162001722,0.44733311484612676,-0.8039415597159174,-0.287420818721999,-0.08200840806278958,-0.13341698688732792
u00004,-0.03855728460989931,0.0644037181529823,0.4033976947065893,0.034658217991745004,0.6400656325386279,0.5375447465376304,-0.9283429292394169,-0.01829234069840198,-0.10906353018086162
u00005,0.825691470002963,0.0644037181529823,1.8217476324405353,0.2768238358721342,1.16215175490349,-0.390401538697898,-0.9283429292394169,0.23251726992686925,-0.03403258377885919
u00006,-0.30677241535182204,-0.09403954805502804,-0.30863367909014955,-0.17291231162001722,0.8886761860181666,-0.6899891363891553,-0.287420818721999,0.05903579560292298,-0.21359960227488156
u00007,1.3025183690997144,0.0644037181529823,4.001568996171724,0.38060910067801534,0.4294561882228239,-0.1787875318328354,-0.9283429292394169,-0.0310355541712795,-0.1734830074635762
u00008,0.02104607777719465,-0.014817914951022873,-0.2643218759732661,6.312972311793918e-05,1.3923003884929614,-0.05227740115021471,-0.9283429292394169,0.30434265495581525,0.14944510623296553
u00009,0.28926120851911735,0.381290250569003,0.43622991630866237,0.4152041889466424,1.707736305472169,0.08427975054644077,-0.9283429292394169,0.5748463227664427,0.2670472775942796
u00010,-0.30677241535182204,-0.09403954805502804,-0.2670853165200689,-0.17291231162001722,-1.1874469732220125,-0.3390640106420381,-0.287420818721999,-0.2792385984043712,-0.16361124464953214
u00011,0.02104607777719465,-0.09403954805502804,-0.2716294767775119,-0.06912704681413613,-0.4911220432077796,-0.12458462183763827,-0.287420818721999,-0.22739688904880132,0.35099644197724944
u00012,-0.03855728460989931,-0.014817914951022873,0.414747306501649,-0.034531958545509084,-0.44905166027969207,0.3007577337035511,-0.9283429292394169,-0.2181290974321631,-0.12573614451624798
u00013,0.4978729768739462,-0.09403954805502804,1.8186842416462934,0.034658217991745004,1.136067344496362,1.062534240532757,-0.9283429292394169,0.2116647387894333,-0.060605841634791435
u00014,-0.30677241535182204,-0.09403954805502804,-0.31343575114598804,-0.17291231162001722,-0.741343767410756,-0.45772293645697626,-0.287420818721999,-0.25201446053049653,-0.10196394481439688
u00015,-0.30677241535182204,-0.09403954805502804,-0.31343575114598804,-0.17291231162001722,1.2261943460775768,0.47485125234407033,-0.287420818721999,0.22730413714251024,-0.05763108968517179
u00016,-0.30677241535182204,-0.09403954805502804,-0.31343575114598804,-0.17291231162001722,-0.29370989307375506,-0.13615614598708428,-0.287420818721999,-0.2114678722077044,-0.06569617138689478
u00017,-0.30677241535182204,-0.09403954805502804,-0.31343575114598804,-0.17291231162001722,-0.22526227197810225,0.30866544964602133,-0.287420818721999,-0.203358554543146,0.0337042572076508
u00018,-0.30677241535182204,-0.09403954805502804,-0.31343575114598804,-0.17291231162001722,-0.9373050601890633,-0.5099897292365623,1.8489862163360606,-0.2644680555153541,-0.26673346706716317
u00019,-0.30677241535182204,-0.09403954805502804,-0.31343575114598804,-0.17291231162001722,0.25374655713538385,0.8264698601939282,1.8489862163360606,-0.12632003672984096,-0.21306455418592604
u00020,0.02104607777719465,-0.09403954805502804,-0.31343575114598804,-0.06912704681413613,0.13056467430158228,-0.4488414414290266,-0.287420818721999,-0.14138019810687805,-0.006120986794483037
u00021,-0.30677241535182204,-0.09403954805502804,-0.31343575114598804,-0.17291231162001722,-3.967573093384334,0.04504860682545235,-0.287420818721999,-0.3154409094068642,-0.2945914980030391
u00022,0.766088107615869,6.560577632681406,2.7799277875574417,5.915823223658341,2.4695635527930917,-0.7166488748321322,-0.9283429292394169,1.2540016771732105,2.1700695688993648
u00023,-0.30677241535182204,-0.09403954805502804,-0.31343575114598804,-0.17291231162001722,1.1134934643367518,-0.03997779259178145,-0.287420818721999,0.16503616221822237,-0.10679090926242046
u00024,-0.30677241535182204,-0.09403954805502804,-0.31343575114598804,-0.17291231162001722,0.1044994804670809,0.33718839054920086,-0.287420818721999,-0.15470264855579544,-0.1552929463062428
u00025,-0.30677241535182204,-0.09403954805502804,-0.31343575114598804,-0.17291231162001722,0.4358414885097009,0.27012898996502277,1.8489862163360606,-0.08490459294298902,-0.23488338836843725
u00026,0.02104607777719465,-0.09403954805502804,-0.24509857188982517,-0.06912704681413613,-0.13513481432894944,0.35749363576319304,-0.287420818721999,-0.19322190746244797,0.18001787858379822
