unit_id,m_gps_patience,m_wvs_q13,m_wvs_q14,m_composite,m_llm_patience_llama,m_llm_patience_phi,m_noise,risktaking,q275_mean,log_gdp_pc
ARG,-0.22930798,1.7826520438683948,1.6849451645064806,0.8216581090175021,0.4640011445127963,0.660684930529839,0.4866964077475746,0.04150317,2.7357926221335993,10.231033976273649
AUS,0.65700376,1.7832322118036403,1.555984555984556,-0.1081700278718469,0.48606314212669,0.6809909630250848,-1.4601264261499725,0.13713655,4.655192197360872,10.950672739167878
BGD,0.08113671,1.7641666666666669,1.8875,2.119953342703001,0.4604693287119809,0.5959537426394348,-0.1468405676313502,-0.19806775,1.853211009174312,8.704834075058292
BOL,0.071331106,1.7668771248178727,1.8120446818844096,1.5977852241730783,0.4522613349453498,0.6170022438612011,-1.0977413023417009,0.10303829,3.3503153808830666,9.361845908897228
BRA,-0.2600402,1.8200908059023837,1.7667423382519865,1.7602801627856062,0.4812849316756528,0.6748679706577516,-0.4323328333891773,-0.2505968,2.7779700115340256,9.794004524490122
CAN,0.71847945,1.7055749128919862,1.501244400199104,-1.2216875696023313,0.4795073597195365,0.6720931356838327,-0.4205990410622683,0.18354815,4.894420815611709,10.942953843059772
CHL,-0.15540831,1.767,1.637,0.3295504619185749,0.4950646872819155,0.6539329085422154,-1.1924737755353476,0.1253722,3.8216432865731464,10.24284670683787
CHN,0.39810467,1.5992720052945069,1.784248841826605,-0.1503070386922087,0.508123497401753,0.6337087020793387,-0.6555276404471405,-0.019810122,2.834331337325349,9.725793680977956
COL,-0.34593233,1.7644736842105264,1.8355263157894737,1.745889568588204,0.4790767967642639,0.6450712313390778,-0.286606650218839,-0.045174524,3.1194926568758343,9.743874503852126
CZE,0.3843513,1.4556113902847572,1.4974874371859297,-3.555394815127074,0.4967893463401649,0.6145282377614161,2.8377501708671886,-0.020464402,3.145954962468724,10.71057467935884
EGY,-0.3831945,1.781484570475396,1.8924103419516265,2.3153573153864206,0.4375604045973518,0.6438715547002718,0.6497407000102887,-0.2808962,2.5975,9.55577479009304
DEU,0.6243982,1.6308196721311476,1.664918032786885,-0.724559674747855,0.5091119478777977,0.6756153716804558,-1.9176562127339465,-0.044485882,4.078688524590164,11.02681763631233
GRC,-0.3600854,1.781954887218045,1.467000835421888,-0.7652378946604489,0.4466935287811874,0.6592642432699234,-0.2704928051359531,-0.15707357,3.2325,10.379638949840924
GTM,-0.25725538,1.4200913242009132,1.4248826291079812,-4.409652558799265,0.4399052767417507,0.5963093511222559,2.174121441460862,-0.21859027,4.085376162299239,9.311261942682822
IND,-0.108732834,1.6932624113475176,1.7062647754137117,0.1514453232598538,0.4464588349218443,0.611820104757022,-0.3187971832571213,-0.2752474,3.202486678507993,8.861119026550787
