unit_id,m_afford,m_space,m_uncrowded,m_spacious_uncrowded,m_age_pref,m_composite_quality,m_noise,m_geo_dict,v_aux,y
u000000,2.3447657583017163,1.0724356884386685,0.40059359414099555,1.0295933665425254,-0.9821426581785077,2.338668935447925,-0.28609877775662634,-1.3278352216308462,1.0541242635427301,1.7790915285595688
u000001,2.3322379635373314,0.6495046219367974,1.0460060894685648,1.1850997139090131,0.6070189133741593,2.3402033314958977,0.6044748165810009,-1.3228439144608317,1.1679897502600929,1.4046492040908836
u000002,1.7826994032844994,1.7247039753799782,0.07733540571307417,1.259559341395145,-1.8561815225324745,1.8391297354494447,0.04198995935027217,-1.3328265288008536,1.3215671555741626,1.5630615525427365
u000003,0.9329675088245888,0.3912711991050806,0.4109186210319333,0.5607012211424547,-1.8561815225324745,0.9469415659001633,0.6418010194701711,-1.3378178359708683,0.5591162587792176,0.6589842934311739
u000004,-0.012880995886439435,0.6754670458331289,0.9362816555051865,1.1265531453151634,-1.8561815225324745,0.11871422044019,0.31675810568028023,-1.3378178359708683,1.1147888230332368,0.33062000043223544
u000005,0.08744663781489194,-0.3341363061563603,0.9996602763545163,0.46517681155059415,-1.8561815225324745,0.13106752023883778,-0.9094313261598598,-1.3378178359708683,0.41279138289017137,0.19215525794236757
u000006,-0.11136630682830236,-0.20858098277057888,1.017328540600009,0.5652848389343653,-1.8561815225324745,-0.04450796604502553,0.2336903063904621,-1.3378178359708683,0.5169344631844974,-0.01599698645422265
u000007,-0.39513664957954914,-0.3073778221527814,1.5719970336918632,0.8839223814496441,-1.8561815225324745,-0.2781819167801714,0.1264912107163448,-1.3378178359708683,0.8097736378241065,-0.1317835169859502
u000008,-0.9423591469347639,-0.6990220216626306,1.1762837873723146,0.33358844517911973,-1.0616007367561409,-0.8595970722780536,-0.09886663330001133,-1.3428091431408828,0.2604055710333625,-0.6484482790359266
u000009,-0.0944695752343217,-0.18055660089414186,0.9502336498356848,0.5379759882182671,-1.8561815225324745,-0.03131559938000107,-0.38531915735024663,-1.3378178359708683,0.49335284979680366,0.028044928246763343
