unit_id,gps_patience,m_patience_child_qualities,gps_trust,m_trust_general,q275_mean,log_gdp_pc
ARG,-0.2293079793453216,0.7337986041874377,-0.2067333310842514,0.2069327731092436,2.7357926221335993,10.231033976273649
AUS,0.6570037603378296,0.6696083838940982,0.2989725768566131,0.5401785714285714,4.655192197360872,10.950672739167878
BGD,0.0811367109417915,0.8258333333333333,-0.1733653247356414,0.1292743953294412,1.853211009174312,8.704834075058292
BOL,0.0713311061263084,0.7894609033511414,-0.1603296250104904,0.0859794821690278,3.3503153808830666,9.361845908897228
BRA,-0.2600401937961578,0.793416572077185,-0.0026891387533396,0.0664739884393063,2.7779700115340256,9.794004524490122
CAN,0.7184794545173645,0.603409656545545,0.2452750355005264,0.4950223992035839,4.894420815611709,10.942953843059772
CHL,-0.1554083079099655,0.702,-0.083214096724987,0.1427104722792607,3.8216432865731464,10.24284670683787
CHN,0.3981046676635742,0.6917604235605559,0.5528057813644409,0.6543702226653373,2.834331337325349,9.725793680977956
COL,-0.3459323346614837,0.8,0.0055465335026383,0.0453947368421052,3.1194926568758343,9.743874503852126
CZE,0.3843513131141662,0.4765494137353434,-0.450684130191803,0.3727959697732997,3.145954962468724,10.71057467935884
DEU,0.6243981719017029,0.6478688524590164,-0.1188225299119949,0.4595141700404858,4.078688524590164,11.02681763631233
EGY,-0.3831945061683655,0.8369474562135113,0.6090208888053894,0.073517126148705,2.5975,9.55577479009304
GBR,0.5350247025489807,0.7019043917605907,0.2347020506858825,0.4670821971172575,4.25010250102501,10.86037863371507
GRC,-0.3600853979587555,0.6244778613199666,-0.3515054881572723,0.0841750841750841,3.2325,10.379638949840924
GTM,-0.2572553753852844,0.3810010214504596,-0.362962931394577,0.1798209926769731,4.085376162299239,9.311261942682822
IDN,-0.3618209064006805,0.785,0.2635972201824188,0.0518912160050015,2.2566427008440137,9.374387416995278
IND,-0.1087328344583511,0.6997635933806147,-0.2039813846349716,0.1768585131894484,3.202486678507993,8.861119026550787
IRN,-0.3807190656661987,0.585390260173449,0.3004699945449829,0.1483957219251337,3.9912985274431056,9.64326813671928
IRQ,-0.4169564545154571,0.8008333333333333,0.2896195352077484,0.1124361158432708,2.847953216374269,9.578679979427552
JOR,-0.4184761941432953,0.8221113881961762,0.3898036479949951,0.1596989966555184,3.166527893422148,9.2347591804913
JPN,0.1084125861525535,0.4652623798965262,-0.5187299251556396,0.3559718969555035,4.380703066566941,10.724925442888976
KAZ,-0.2586552500724792,0.5815047021943573,0.1529380679130554,0.2389162561576354,4.792176039119805,10.365552145061642
KEN,-0.076222687959671,0.7954186413902053,-0.4223032295703888,0.0958466453674121,3.31031746031746,8.495781149085648
KOR,0.3692497611045837,0.5269076305220883,-0.0992146432399749,0.3293172690763052,4.118072289156626,10.766081885851694
MAR,-0.3107252717018127,0.7583333333333333,-0.0903147533535957,0.165,2.4791666666666665,9.039643517634676
MEX,-0.1084281057119369,0.6995399654974123,-0.3570720851421356,0.1029919447640966,3.023081361800346,9.984719129689855
NGA,-0.2004194259643554,0.8265966046887632,-0.0578044019639492,0.1268292682926829,2.5887622149837135,9.048673480629786
NIC,-0.6125203371047974,0.78125,0.0229888055473566,0.0425,2.7356130108423686,8.8615946442124
NLD,0.9517077803611756,0.7277777777777777,0.2980569303035736,0.6120556414219475,4.732451678535097,11.08983750643868
PAK,-0.0831079930067062,0.7598997493734336,-0.1033708825707435,0.2349671551288529,2.16214859437751,8.52059877387035
PER,-0.1089299097657203,0.7639285714285714,-0.0969185009598732,0.0530465949820788,3.309285714285714,9.620472686761463
PHL,0.0991127640008926,0.7379166666666667,0.3570630848407745,0.0534670008354218,2.3408333333333333,9.053983548743336
ROU,-0.2681510150432586,0.7398568019093079,-0.2170474380254745,0.1187399030694668,3.204149377593361,10.391368101956564
RUS,-0.0752779468894004,0.5621546961325967,-0.1507748663425445,0.2390934844192634,4.873333333333333,10.488007928360153
SRB,-0.1378207057714462,0.6248789932236205,-0.1602042466402053,0.1661807580174927,5.1346341463414635,9.887371153176
THA,-0.2297255992889404,0.58,0.3484398126602173,0.3136842105263158,2.159783344617468,9.906895885074016
TUR,-0.0473988987505435,0.5807775377969763,0.1291102468967437,0.1426160337552742,2.333748960931006,10.226038698936202
UKR,-0.181665763258934,0.5760279286268425,-0.0923869833350181,0.3065286624203822,4.897496087636933,9.706146919190363
USA,0.8112621307373047,0.6645447530864198,0.1503669619560241,0.3973714727483571,4.882123341139734,11.104336807711285
VNM,0.110499694943428,0.6141666666666666,0.1436313688755035,0.2766666666666666,3.234166666666667,9.243318234128331
ZWE,-0.2385871857404709,0.7880658436213992,-0.5091331005096436,0.0214168039538715,2.4525968672712284,8.54894110021535
