unit_id,m_trust_general,m_trust_in_group,m_trust_out_group,m_trust_institution,m_trust_composite,m_llm_trust_llama,m_llm_trust_phi,m_noise,q275_cell,gps_trust_cell
ARG|F|18-24,-0.0472174344559301,-0.004975609693537,-0.0264747032802561,-0.0027124380589729,-0.0113875836775885,-0.0064808862176216,0.073000745721559,-1.0992587618058045,-0.0214228640510198,-0.1101013798333333
ARG|F|25-34,-0.0092358826382415,-0.0114637049316322,0.0051390533335003,-0.0285000763466112,-0.0116082426482475,0.0068947342252982,0.0422525403193754,1.377413930256135,0.6323866597585042,-0.0882906998333333
ARG|F|35-44,0.0419466522313763,0.0115216430537157,0.0133401115345586,-0.0135580739046087,0.0037678935612219,0.0024598576313012,-0.0238114028796898,-0.0425763235953198,0.539346366718211,0.0624822601666666
ARG|F|45-54,0.0026800364941724,-0.0070483945036635,-0.0186805166886011,-0.009419807108114,-0.0117162394334595,-3.6555064510668256e-06,-0.0177336749117992,-0.4324797499100629,0.1693366296198664,-0.1412365798333333
ARG|F|55-64,-0.0356206458743065,0.0005776689949875,0.0430456367318871,0.0384333090293972,0.0273522049187574,0.0021742261267771,-0.0077390641840127,0.9243504497121332,-0.4127343394608558,-0.0054006398333333
ARG|F|65+,-0.0051121712980353,0.0102987805503653,0.0066359390076013,0.0661597184656226,0.0276981460078633,-0.0024713518153659,-0.0073853784234642,0.4878077033841274,-0.6304472542949222,0.2862742681666667
ARG|M|18-24,0.0362671390467922,0.0006222163934195,-0.0100697113317859,-0.0134013013293579,-0.0076162654225746,-0.016405129008179,0.0507746959788567,-2.019178093451639,-0.1153359075292805,-0.1017316798333333
ARG|M|25-34,0.0580457234388067,-0.0132844332229488,0.0034817237349944,-0.0391676767200939,-0.0163234620693493,0.0045703802415035,0.0247179235681757,-0.2544844985206309,0.3870085084980004,-0.1107991998333333
ARG|M|35-44,-0.0103069764928405,-0.015615853595976,-0.0223659069839599,-0.0113301189327513,-0.0164372931708955,0.003574005857627,-0.0411499792879326,1.6766640078771098,0.2841868920465411,-0.1071581798333333
ARG|M|45-54,-0.0336835998694639,0.0173360341420794,-0.0035802334679782,-0.0085528052007098,0.0017343318244638,0.0028741305077647,-0.0292738588841552,0.1833550730542384,-0.2256694393934855,0.0098255201666666
ARG|M|55-64,0.0486191719855467,0.0051512019006658,0.0073837820707665,0.0145554792089444,0.009030154393459,0.0038163135127412,-0.0241702218115991,1.9884647972485,-0.2485657211938767,0.1697641901666666
ARG|M|65+,-0.0463820125678766,0.0068804509125235,0.0021448253392725,0.0074937908972561,0.0055063557163508,-0.0010026255553957,-0.0394823252053133,-2.790078534248787,-0.3580895307176863,0.1363721201666666
AUS|F|18-24,-0.0572772428676199,0.019780400122452,-0.0446593082556076,-0.0047695393891087,-0.0098828158407546,-0.0187245675978465,0.0851951691341922,0.51384651443384,-0.2273838263740337,-0.28219044325
AUS|F|25-34,-0.0930854311736171,-0.0067314316041034,-0.0219140138188145,-0.0100316751075936,-0.0128923735101705,0.0397841216065378,0.0618134133756165,-1.0706500196088695,0.4542740219504813,-0.03142592425
AUS|F|35-44,0.0443902533991794,0.0023587973349957,0.0173429316647507,-0.0033773666663611,0.0054414541111282,0.0300404125673202,-0.0300523110515131,-0.7228303459179006,0.6261876021973949,0.16876506575
AUS|F|45-54,-0.0385985849637804,-0.00259118896262,0.0103261690813946,0.0010944635154237,0.002943147878066,0.0094242080894565,-0.0218116614436144,0.4229023994015695,0.246385342310389,0.17770558575
AUS|F|55-64,0.0237422894088099,0.0197044122805069,0.0229626341383711,-0.0034741276073748,0.013064306270501,0.0159342843485786,-0.0148539824555345,0.176834768144295,-0.3909176609604996,0.19997294575
AUS|F|65+,-0.0123509390127446,0.0234728940691832,0.0509951604284176,0.0243872598493578,0.0329517714489863,-0.0148463913406701,-0.0341139080261411,-0.929582082610394,-1.1931785949857034,0.2612945057499999
